t_seconds,fr_elbow_tau,fl_elbow_tau,br_elbow_tau,bl_elbow_tau,fr_bottom_tau,fl_bottom_tau,br_bottom_tau,bl_bottom_tau
32.22321319580078,0.1824,0.0001718678545367128,0.07564514641187724,0.1824,0.037133874907067134,0.008768333818634637,0.1824,0.07587797821376059
32.24644446372986,0.1824,0.0004605623500332534,0.0635254161898227,0.1824,0.03803954538321467,0.006685003249901917,0.1824,0.07571430944063662
32.270024061203,0.1824,0.00015344878474195142,0.06408617120373243,0.1824,0.03909413613048219,0.005815261689488439,0.1824,0.08007322463091984
32.29377007484436,0.1824,0.05753865537314395,0.11695211499610075,0.1824,0.06553562655901372,0.04811384221824291,0.1824,0.06402466046565819
32.31729316711426,0.1824,0.06168932349226571,0.12369827725133659,0.1824,0.07992608060662384,0.04198231310572007,0.1824,0.06063247360826982
32.34068536758423,0.1824,0.05454248461665848,0.11560921698611039,0.1824,0.08355784702711204,0.04106703335413399,0.1824,0.06055409119286942
32.364094495773315,0.1824,0.04583880161811727,0.11302798516473966,0.1824,0.07984773814094999,0.022497637571964265,0.1824,0.06110274013084578
32.38751292228699,0.1824,0.03959914138851335,0.10611296479984968,0.1824,0.0727190928254043,0.012594767202087239,0.1824,0.05547403379543115
32.73263931274414,0.00028247004677542516,0.1824,0.1824,0.07361328862386439,0.005879194570977717,0.03524009552766899,0.07841545605688285,0.1824
32.75598382949829,0.0007275566774192361,0.1824,0.1824,0.0623726032067439,0.004641219949437445,0.03466933817811424,0.09187921067665415,0.1824
32.77936267852783,0.10016900266479149,0.1824,0.1824,0.14098296103254643,0.07365133663762204,0.059725212155286915,0.047640000568053696,0.1824
32.8027617931366,0.08853438664295044,0.1824,0.1824,0.12343869778854409,0.07553460343774342,0.04741993524974691,0.05486092184140758,0.1824
32.8259961605072,0.09477301732443316,0.1824,0.1824,0.13255629490383633,0.06932871612414908,0.05301107420044066,0.04564419445511447,0.1824
32.849151849746704,0.08925445856055826,0.1824,0.1824,0.1175232952449709,0.06392540995594553,0.06477373434747276,0.030400511207857184,0.1824
32.872368574142456,0.07299976958261896,0.1824,0.1824,0.10104913248362028,0.06228112541232,0.06464238124982864,0.03366121906526471,0.1824
32.89575719833374,0.06704003906145574,0.1824,0.1824,0.09873898979464994,0.06053090663050522,0.06271774953458716,0.03023289491286161,0.1824
